americas_bvsp,americas_gsptse,americas_ipsa,americas_merv,americas_mxx,asia_000001ss,asia_aord,asia_axjo,asia_bsesn,asia_hsi,asia_jkse,asia_klse,asia_ks11,asia_n225,asia_nz50,asia_sti,asia_twii,europe_aex,europe_atx,europe_bfx,europe_fchi,europe_ftse,europe_gdat,europe_gdaxi,europe_omxspi,europe_oseax,europe_ssmi,europe_stoxx50e,us_bank,us_bkx,us_gspc,us_inds,us_insr,us_ixco,us_ixic,us_ixtc,us_mid,us_nbi,us_ndx,us_ny,us_nya,us_nyi,us_nyl,us_nyy,us_oex,us_ofin,us_rua,us_rui,us_rut,us_sox,us_tran,us_vix,us_xax,us_xmi
53422.0,14546.0,3910.93,6814.54,41659.91,2015.27,5455.9,5476.8,22344.04,21837.12,4860.89,1862.84,1950.6,14163.78,5161.41,3247.69,8930.9,402.98,2488.9,3144.79,4507.24,6839.3,1224.69,9607.4,442.27,656.31,8465.7,3204.3,2466.22,68.04,1875.63,3496.72,6168.97,2032.81,4051.5,245.12,1350.53,2334.2,3540.42,8002.99,10610.65,5828.68,7200.92,7250.4,831.59,5324.29,1118.22,1045.56,1097.43,577.83,3150.22,13.43,2612.89,1854.35
53100.0,14534.1,3904.06,6846.69,41641.11,2011.14,5442.0,5460.8,22994.23,21862.99,4898.14,1866.72,1956.55,14199.59,5152.67,3252.13,8889.69,401.93,2482.24,3143.88,4477.28,6814.6,1191.7,9581.45,442.09,656.78,8510.4,3184.09,2487.21,67.97,1878.48,3521.32,6197.7,2035.81,4071.87,245.02,1353.79,2364.14,3555.7,8014.64,10606.69,5805.66,7196.84,7249.83,832.96,5339.89,1120.58,1047.18,1107.22,575.97,3149.13,12.92,2596.41,1859.05
54053.0,14654.9,3920.17,6843.32,42086.17,2052.87,5429.0,5448.4,23551.0,22261.61,4913.0,1866.08,1964.94,14149.52,5162.42,3222.43,8808.61,403.78,2492.68,3163.55,4493.65,6851.8,1164.59,9702.46,446.09,662.53,8545.1,3206.97,2533.86,68.98,1896.65,3576.13,6294.19,2073.51,4143.86,247.92,1374.58,2425.36,3612.73,8070.19,10703.5,5854.39,7250.65,7332.08,839.97,5405.05,1133.12,1057.8,1133.65,586.48,3221.85,12.23,2633.38,1870.4
53907.0,14679.8,3956.33,6866.93,42236.83,2050.73,5475.4,5498.2,23871.23,22352.38,4921.39,0.0,1982.93,14425.44,5199.34,0.0,8817.94,404.65,2478.39,3156.38,4505.02,6873.1,1160.81,9754.43,448.28,662.15,8543.6,3211.78,2503.63,68.74,1897.45,3563.0,6265.46,2072.68,4130.17,245.65,1368.1,2406.6,3611.13,8081.23,10702.86,5856.47,7257.83,7320.48,841.06,5373.45,1132.17,1057.82,1121.16,581.88,3227.14,12.13,2630.76,1872.81
54413.0,14673.7,3964.09,6900.49,42144.51,2047.91,5475.9,5496.5,23815.12,22582.77,4991.64,1879.2,2010.83,14405.76,5213.36,3259.09,8875.16,403.33,2468.51,3157.51,4501.04,6878.5,1178.12,9754.39,448.69,664.57,8611.7,3210.42,2450.59,67.67,1888.53,3520.98,6176.99,2061.36,4100.63,244.02,1357.06,2418.31,3593.25,8045.43,10656.12,5845.94,7232.8,7297.32,837.33,5328.99,1125.69,1052.67,1103.14,576.8,3192.6,12.17,2628.28,1863.3
53856.0,14588.9,3947.2,6784.4,41561.83,2024.97,5490.2,5510.8,23905.6,22730.86,0.0,1879.83,2010.2,14298.21,5194.96,3272.49,8880.65,400.25,2412.98,3112.0,4444.93,6840.9,1123.62,9656.05,450.63,663.91,8644.7,3163.22,2435.08,66.96,1870.85,3496.11,6147.45,2040.07,4069.29,249.47,1345.79,2389.66,3565.17,7963.42,10568.37,5821.47,7175.31,7267.53,829.38,5261.13,1115.64,1043.06,1095.99,570.0,3175.43,13.17,2618.06,1841.24
53976.0,14514.7,3969.38,6878.73,41898.84,2026.5,5458.9,5479.0,24121.74,22712.91,5031.57,1883.34,2013.44,14096.59,5186.19,3262.59,8888.45,399.56,2397.45,3098.15,4456.28,6855.8,1088.25,9629.1,448.53,662.31,8683.6,3172.72,2433.25,66.81,1877.86,3516.62,6177.39,2053.58,4090.59,250.91,1352.53,2385.36,3587.2,7985.72,10603.18,5842.33,7197.49,7307.12,832.32,5271.71,1119.96,1046.89,1102.91,576.01,3185.7,12.44,2649.74,1842.94
53353.0,0.0,3935.28,7156.31,41840.05,2005.18,5390.3,5409.0,24363.05,22704.5,5015.0,1887.07,2015.14,14006.44,5167.78,3262.43,8899.9,401.04,2404.92,3105.37,4469.76,6844.6,1066.54,9659.39,448.65,662.93,8646.0,3169.9,2463.3,67.5,1885.08,3536.33,6205.65,2075.12,4125.81,252.34,1360.18,2419.92,3615.62,8006.32,10618.64,5816.67,7197.4,7329.89,835.65,5314.53,1125.13,1051.22,1114.43,582.05,3226.18,12.42,2654.34,1845.72
52366.0,14525.2,3881.35,7218.46,41805.1,2008.12,5401.7,5420.4,24376.88,22834.68,4895.96,1881.16,2011.26,14075.25,5134.89,3265.47,8887.79,400.8,2392.77,3105.36,4452.35,6802.0,1119.3,9639.08,448.88,660.05,8635.6,3163.93,2439.91,67.07,1872.83,3506.28,6165.14,2069.22,4096.89,248.91,1345.3,2384.56,3600.31,7946.24,10541.95,5782.46,7147.71,7283.81,830.88,5246.85,1116.7,1043.98,1097.9,578.58,3191.89,12.96,2641.05,1834.07
52203.0,14649.9,0.0,7261.07,41828.98,2024.95,5403.9,5424.6,24298.02,22836.52,4910.29,1877.03,2008.33,14042.17,5108.57,3261.78,8862.42,402.9,2397.45,3118.46,4469.03,6821.0,1136.76,9697.87,450.01,664.13,8655.9,3187.08,2453.24,67.65,1888.03,3534.99,6203.38,2089.76,4131.54,250.99,1352.65,2399.28,3635.61,8012.57,10620.44,5826.36,7205.38,7327.51,838.01,5293.97,1125.33,1052.27,1103.63,581.81,3204.93,11.91,2685.9,1849.53
