Date,Open,High,Low,Close,Volume,Adj Close
2013-03-08,58842.00,59031.00,58129.00,58433.00,4129200,58433.00
2013-03-07,57940.00,59472.00,57940.00,58847.00,6338200,58847.00
2013-03-06,55953.00,58150.00,55953.00,57940.00,5806000,57940.00
2013-03-05,56508.00,57227.00,55951.00,55951.00,4261000,55951.00
2013-03-04,56878.00,56878.00,56067.00,56499.00,4033800,56499.00
2013-03-01,57422.00,57422.00,56526.00,56884.00,3889600,56884.00
2013-02-28,57273.00,57798.00,56925.00,57424.00,4441800,57424.00
2013-02-27,56948.00,57402.00,56685.00,57274.00,5034000,57274.00
2013-02-26,56616.00,57007.00,56047.00,56949.00,4510600,56949.00
2013-02-25,56698.00,57157.00,56419.00,56618.00,3965400,56618.00
2013-02-22,56159.00,56742.00,56107.00,56697.00,5113800,56697.00
2013-02-21,56153.00,56227.00,55430.00,56155.00,4915800,56155.00
2013-02-20,57312.00,57569.00,56034.00,56178.00,4950200,56178.00
2013-02-19,57619.00,58061.00,57234.00,57314.00,3921000,57314.00
2013-02-18,57906.00,57929.00,57420.00,57614.00,2697200,57614.00
2013-02-15,58076.00,58352.00,57802.00,57903.00,3519200,57903.00
2013-02-14,58406.00,58406.00,57751.00,58077.00,2385200,58077.00
2013-02-13,58495.00,58754.00,58252.00,58406.00,2803800,58406.00
2013-02-08,58374.00,58638.00,58025.00,58498.00,3152400,58498.00
2013-02-07,58936.00,59435.00,58116.00,58372.00,4071600,58372.00
2013-02-06,59442.00,59582.00,58588.00,58951.00,4410400,58951.00
2013-02-05,59576.00,59974.00,59132.00,59445.00,4429600,59445.00
2013-02-04,60350.00,60350.00,59256.00,59576.00,3347800,59576.00
2013-02-01,59764.00,60496.00,59742.00,60351.00,3412400,60351.00
2013-01-31,59344.00,59771.00,59114.00,59761.00,4749400,59761.00
2013-01-30,60405.00,60405.00,59305.00,59337.00,4661200,59337.00
2013-01-29,60027.00,60428.00,59758.00,60406.00,3192600,60406.00
2013-01-28,61178.00,61313.00,59921.00,60027.00,3426800,60027.00
2013-01-25,61170.00,61170.00,61170.00,61170.00,000,61170.00
2013-01-24,61966.00,62249.00,60838.00,61170.00,3605200,61170.00
2013-01-23,61692.00,61969.00,61543.00,61966.00,3209000,61966.00
2013-01-22,61904.00,61995.00,61534.00,61692.00,3475000,61692.00
2013-01-21,61962.00,62052.00,61804.00,61900.00,2143400,61900.00
2013-01-18,62197.00,62395.00,61822.00,61956.00,3495200,61956.00
2013-01-17,61806.00,62309.00,61683.00,62194.00,3382000,62194.00
2013-01-16,61726.00,61787.00,61241.00,61787.00,2789200,61787.00
2013-01-15,62079.00,62151.00,61695.00,61728.00,3819200,61728.00
2013-01-14,61511.00,62285.00,61511.00,62081.00,3481400,62081.00
2013-01-11,61662.00,61683.00,61198.00,61497.00,3161000,61497.00
2013-01-10,61578.00,61947.00,61156.00,61678.00,4100600,61678.00
2013-01-09,61129.00,61812.00,61103.00,61579.00,3236400,61579.00
2013-01-08,61933.00,62265.00,61081.00,61128.00,3840600,61128.00
2013-01-07,62523.00,62699.00,61639.00,61933.00,3985800,61933.00
2013-01-04,63314.00,63314.00,62415.00,62523.00,6233800,62523.00
2013-01-03,62555.00,63473.00,62341.00,63312.00,3355800,63312.00
2013-01-02,60990.00,62887.00,60990.00,62550.00,3739800,62550.00
2012-12-28,60416.00,61066.00,60416.00,60952.00,2626000,60952.00
2012-12-27,60964.00,61191.00,60233.00,60416.00,2852600,60416.00
2012-12-26,61003.00,61322.00,60861.00,60960.00,2598000,60960.00
2012-12-21,61271.00,61271.00,60221.00,61007.00,3157400,61007.00
2012-12-20,60992.00,61276.00,60622.00,61276.00,3083400,61276.00
2012-12-19,60461.00,61212.00,60396.00,60998.00,4427600,60998.00
2012-12-18,59568.00,60539.00,59565.00,60461.00,4364800,60461.00
2012-12-17,59604.00,59914.00,59323.00,59567.00,3114400,59567.00
2012-12-14,59320.00,59824.00,59273.00,59605.00,3405800,59605.00
2012-12-13,59459.00,59969.00,59154.00,59317.00,3569400,59317.00
2012-12-12,59626.00,59859.00,59291.00,59474.00,4749600,59474.00
2012-12-11,59257.00,59747.00,58951.00,59623.00,3988600,59623.00
2012-12-10,58468.00,59248.00,58091.00,59248.00,3061800,59248.00
2012-12-07,57656.00,58594.00,57636.00,58487.00,3042400,58487.00
2012-12-06,57685.00,57860.00,57129.00,57656.00,3203200,57656.00
2012-12-05,57597.00,58127.00,57231.00,57679.00,3582400,57679.00
2012-12-04,58212.00,58520.00,57547.00,57563.00,3937200,57563.00
2012-12-03,57479.00,58332.00,57479.00,58202.00,3485800,58202.00
2012-11-30,57845.00,58031.00,56704.00,57475.00,5047000,57475.00
2012-11-29,56562.00,57853.00,56562.00,57853.00,3401400,57853.00
2012-11-28,56206.00,56591.00,55686.00,56539.00,3465400,56539.00
2012-11-27,56737.00,57420.00,56248.00,56248.00,3554200,56248.00
2012-11-26,57571.00,57572.00,56502.00,56737.00,2752800,56737.00
2012-11-23,56439.00,57574.00,56248.00,57574.00,3182000,57574.00
2012-11-22,56245.00,56643.00,56242.00,56437.00,2146200,56437.00
2012-11-21,56453.00,56789.00,55946.00,56242.00,3592200,56242.00
2012-11-19,55387.00,56666.00,55387.00,56451.00,2782800,56451.00
2012-11-16,56277.00,56277.00,55126.00,55402.00,3471800,55402.00
2012-11-14,57472.00,57472.00,56038.00,56279.00,3606400,56279.00
2012-11-13,57049.00,57529.00,56593.00,57486.00,3363400,57486.00
2012-11-12,57358.00,57712.00,56988.00,57064.00,2071200,57064.00
2012-11-09,57517.00,58109.00,56862.00,57358.00,4250400,57358.00
2012-11-08,58523.00,59008.00,57420.00,57524.00,3201000,57524.00
2012-11-07,59460.00,59460.00,58274.00,58517.00,3084000,58517.00
2012-11-06,58220.00,59561.00,58174.00,59459.00,3470000,59459.00
2012-11-05,58374.00,58374.00,57551.00,58210.00,2617200,58210.00
2012-11-01,57065.00,58383.00,56960.00,58383.00,2980200,58383.00
2012-10-31,57682.00,57935.00,56929.00,57068.00,2794200,57068.00
2012-10-30,57178.00,57764.00,57178.00,57684.00,1606000,57684.00
2012-10-29,57267.00,57267.00,56581.00,57177.00,1709800,57177.00
2012-10-26,57833.00,57833.00,57061.00,57277.00,2999400,57277.00
2012-10-25,57161.00,58274.00,57161.00,57837.00,000,57837.00
2012-10-24,57686.00,57986.00,57159.00,57161.00,2934800,57161.00
2012-10-23,58679.00,58679.00,57388.00,57690.00,3395600,57690.00
2012-10-22,58925.00,59205.00,58541.00,58700.00,2803400,58700.00
2012-10-19,59701.00,59846.00,58782.00,58922.00,3000200,58922.00
2012-10-18,60087.00,60087.00,59322.00,59734.00,3321200,59734.00
2012-10-17,59742.00,60398.00,59683.00,60087.00,4209400,60087.00
2012-10-16,59602.00,60412.00,59484.00,59744.00,3251000,59744.00
2012-10-15,59164.00,59758.00,58790.00,59602.00,3119200,59602.00
2012-10-11,58460.00,59360.00,58460.00,59162.00,2817800,59162.00
2012-10-10,58944.00,59320.00,58341.00,58456.00,2781600,58456.00
2012-10-09,59319.00,59697.00,58616.00,58939.00,3146400,58939.00
2012-10-08,58572.00,59318.00,58170.00,59317.00,2596200,59317.00
2012-10-05,58460.00,59441.00,58414.00,58572.00,3244200,58572.00
2012-10-04,58627.00,59002.00,58105.00,58458.00,3365200,58458.00
2012-10-03,59222.00,59483.00,58542.00,58627.00,3195600,58627.00
2012-10-02,59575.00,60091.00,59028.00,59222.00,3198400,59222.00
2012-10-01,59171.00,60216.00,59171.00,59571.00,2759600,59571.00
2012-09-28,60240.00,60240.00,58864.00,59176.00,3690000,59176.00
2012-09-27,60483.00,60889.00,59876.00,60240.00,3811000,60240.00
2012-09-26,60506.00,60506.00,59725.00,60478.00,3139400,60478.00
2012-09-25,61913.00,61947.00,60357.00,60501.00,3873600,60501.00
2012-09-24,61319.00,61932.00,61075.00,61910.00,3329800,61910.00
2012-09-21,61695.00,62223.00,61300.00,61320.00,2985400,61320.00
2012-09-20,61652.00,61908.00,60961.00,61688.00,2923200,61688.00
2012-09-19,61806.00,62514.00,61519.00,61652.00,3391000,61652.00
2012-09-18,61806.00,62132.00,61447.00,61804.00,3202000,61804.00
2012-09-17,62106.00,62692.00,61552.00,61806.00,3903000,61806.00
2012-09-14,61955.00,63428.00,61823.00,62105.00,5816200,62105.00
2012-09-13,59921.00,62117.00,59629.00,61958.00,5974600,61958.00
2012-09-12,59429.00,60136.00,59205.00,59922.00,4849800,59922.00
2012-09-11,58405.00,59515.00,58404.00,59423.00,3854800,59423.00
2012-09-10,58325.00,59421.00,58325.00,58404.00,3513600,58404.00
2012-09-06,56868.00,58328.00,56868.00,58321.00,3620600,58321.00
2012-09-05,56236.00,56904.00,56236.00,56864.00,3313000,56864.00
2012-09-04,57272.00,57272.00,56203.00,56234.00,3236000,56234.00
2012-09-03,57065.00,57457.00,56954.00,57281.00,2317000,57281.00
2012-08-31,57257.00,57835.00,56719.00,57061.00,5747200,57061.00
2012-08-30,57366.00,57508.00,56901.00,57256.00,3132600,57256.00
2012-08-29,58414.00,58553.00,57061.00,57369.00,4106200,57369.00
2012-08-28,58109.00,58745.00,57976.00,58406.00,2728200,58406.00
2012-08-27,58424.00,58462.00,57853.00,58111.00,2344200,58111.00
2012-08-24,58511.00,58750.00,57833.00,58426.00,3212600,58426.00
2012-08-23,59382.00,59382.00,58145.00,58512.00,3342000,58512.00
2012-08-22,58918.00,59585.00,58443.00,59381.00,3708800,59381.00
2012-08-21,59298.00,60209.00,58684.00,58918.00,3926400,58918.00
2012-08-20,59083.00,59462.00,58629.00,59283.00,3001200,59283.00
2012-08-17,59443.00,59822.00,58944.00,59082.00,2954200,59082.00
2012-08-16,58190.00,59544.00,58190.00,59446.00,3477000,59446.00
2012-08-15,58083.00,58375.00,57630.00,58189.00,4578200,58189.00
2012-08-14,59123.00,59605.00,57904.00,58083.00,3533800,58083.00
2012-08-13,59281.00,59543.00,58601.00,59123.00,2539200,59123.00
2012-08-10,58774.00,59365.00,58128.00,59281.00,3080000,59281.00
2012-08-09,58950.00,59202.00,58115.00,58797.00,2863000,58797.00
2012-08-08,57723.00,58964.00,57603.00,58951.00,3233200,58951.00
2012-08-07,58343.00,59316.00,57679.00,57726.00,3447200,57726.00
2012-08-06,57255.00,58996.00,56893.00,58345.00,3613400,58345.00
2012-08-03,55524.00,57399.00,55524.00,57255.00,3577400,57255.00
2012-08-02,56289.00,56289.00,55239.00,55520.00,2838000,55520.00
2012-08-01,56091.00,56385.00,55425.00,55623.00,598200,55623.00
2012-07-31,57243.00,57466.00,56097.00,56097.00,692000,56097.00
2012-07-30,56551.00,57241.00,56090.00,57241.00,2965600,57241.00
2012-07-27,54024.00,57046.00,54024.00,56553.00,4674400,56553.00
2012-07-26,52638.00,54126.00,52638.00,54003.00,3017600,54003.00
2012-07-25,52658.00,53233.00,52346.00,52608.00,2216000,52608.00
2012-07-24,53038.00,53416.00,52399.00,52639.00,2762600,52639.00
2012-07-23,54183.00,54183.00,52213.00,53034.00,2807800,53034.00
2012-07-20,55337.00,55337.00,54138.00,54195.00,2865000,54195.00
2012-07-19,54588.00,55491.00,54588.00,55347.00,2879200,55347.00
2012-07-18,53909.00,54588.00,53551.00,54583.00,2296200,54583.00
2012-07-17,53403.00,54037.00,53119.00,53909.00,2519400,53909.00
2012-07-16,54316.00,54418.00,53216.00,53402.00,2821800,53402.00
2012-07-13,53422.00,54428.00,53420.00,54331.00,2784600,54331.00
2012-07-12,53564.00,53616.00,52489.00,53421.00,3047600,53421.00
2012-07-11,53708.00,54135.00,53233.00,53569.00,2970600,53569.00
2012-07-10,55392.00,55588.00,53668.00,53706.00,3467800,53706.00
2012-07-06,56376.00,56376.00,54967.00,55394.00,2701800,55394.00
2012-07-05,56083.00,56943.00,55828.00,56379.00,3128600,56379.00
2012-07-04,55780.00,56322.00,55485.00,56077.00,1718400,56077.00
2012-07-03,54704.00,56228.00,54704.00,55780.00,4064400,55780.00
2012-07-02,54355.00,54754.00,53961.00,54693.00,2874200,54693.00
2012-06-29,52656.00,54355.00,52656.00,54355.00,3744800,54355.00
2012-06-28,53107.00,53306.00,52271.00,52652.00,3531600,52652.00
2012-06-27,53837.00,54006.00,53084.00,53109.00,3825800,53109.00
2012-06-26,53806.00,54193.00,53398.00,53837.00,2707000,53837.00
2012-06-25,55406.00,55406.00,53694.00,53805.00,2160000,53805.00
2012-06-22,55518.00,56019.00,55083.00,55440.00,2476800,55440.00
2012-06-21,57162.00,57218.00,55505.00,55505.00,2601800,55505.00
2012-06-20,57196.00,57611.00,56529.00,57167.00,3202000,57167.00
2012-06-19,56210.00,57567.00,56210.00,57195.00,3658800,57195.00
2012-06-18,56066.00,56579.00,55486.00,56195.00,2960600,56195.00
2012-06-15,55349.00,56105.00,55203.00,56105.00,3900800,56105.00
2012-06-14,55641.00,55769.00,54952.00,55352.00,3299200,55352.00
2012-06-13,55041.00,55989.00,54523.00,55651.00,4187800,55651.00
2012-06-12,54001.00,55049.00,53906.00,55049.00,3894600,55049.00
2012-06-11,54434.00,55401.00,53905.00,54001.00,2736600,54001.00
2012-06-08,54150.00,54432.00,53685.00,54430.00,2627600,54430.00
2012-06-06,52486.00,54195.00,52486.00,54156.00,3542000,54156.00
2012-06-05,53413.00,53917.00,52481.00,52481.00,2530000,52481.00
2012-06-04,53408.00,53960.00,53367.00,53417.00,2360000,53417.00
2012-06-01,54488.00,54488.00,53087.00,53403.00,2986400,53403.00
2012-05-31,53805.00,54509.00,53090.00,54490.00,4826000,54490.00
2012-05-30,54632.00,54632.00,53382.00,53798.00,3298400,53798.00
2012-05-29,55214.00,55763.00,54554.00,54633.00,3048000,54633.00
2012-05-28,54467.00,55609.00,54467.00,55213.00,1857200,55213.00
2012-05-25,54062.00,54970.00,53847.00,54463.00,2988400,54463.00
2012-05-24,54620.00,54820.00,53176.00,54063.00,4013800,54063.00
2012-05-23,55039.00,55052.00,53028.00,54619.00,4334000,54619.00
2012-05-22,56586.00,56586.00,54886.00,55039.00,3667400,55039.00
2012-05-21,54516.00,56678.00,54516.00,56590.00,3569000,56590.00
2012-05-18,54032.00,54914.00,53856.00,54513.00,4306200,54513.00
2012-05-17,55886.00,56296.00,54038.00,54038.00,3709800,54038.00
2012-05-16,56245.00,57693.00,55415.00,55888.00,4327600,55888.00
2012-05-15,57540.00,58024.00,56145.00,56238.00,4189200,56238.00
2012-05-14,59443.00,59443.00,57539.00,57540.00,3047400,57540.00
2012-05-11,59703.00,60340.00,59138.00,59445.00,2532400,59445.00
2012-05-10,59796.00,60752.00,59637.00,59702.00,2701400,59702.00
2012-05-09,60346.00,60346.00,59199.00,59786.00,3261600,59786.00
2012-05-08,61218.00,61218.00,59871.00,60365.00,3091200,60365.00
2012-05-07,60802.00,61299.00,60391.00,61220.00,3370400,61220.00
2012-05-04,62104.00,62167.00,60438.00,60821.00,4961600,60821.00
2012-05-03,62427.00,62783.00,61731.00,62104.00,3036000,62104.00
2012-05-02,61820.00,62502.00,61594.00,62424.00,2955600,62424.00
2012-04-30,61691.00,61900.00,61231.00,61820.00,1963200,61820.00
2012-04-27,62203.00,62486.00,61667.00,61691.00,2547600,61691.00
2012-04-26,61750.00,62282.00,61033.00,62198.00,3130000,62198.00
2012-04-25,61989.00,62441.00,61328.00,61750.00,3307200,61750.00
2012-04-24,61537.00,62001.00,61380.00,61971.00,2377000,61971.00
2012-04-23,62494.00,62494.00,60897.00,61539.00,2533400,61539.00
2012-04-20,62620.00,63369.00,62431.00,62494.00,2285200,62494.00
2012-04-19,63007.00,63274.00,62478.00,62618.00,2358200,62618.00
2012-04-18,62696.00,63243.00,62429.00,63010.00,4053800,63010.00
2012-04-17,61959.00,62961.00,61959.00,62699.00,2704600,62699.00
2012-04-16,62120.00,62688.00,61465.00,61955.00,2316600,61955.00
2012-04-13,63039.00,63039.00,61778.00,62106.00,2959600,62106.00
2012-04-12,61300.00,63061.00,61300.00,63058.00,3115800,63058.00
2012-04-11,61741.00,62356.00,61291.00,61293.00,2952600,61293.00
2012-04-10,62922.00,62922.00,61344.00,61738.00,3094000,61738.00
2012-04-09,63690.00,63690.00,62462.00,62923.00,1788200,62923.00
2012-04-05,63518.00,64299.00,63384.00,63691.00,2294800,63691.00
2012-04-04,64301.00,64301.00,63450.00,63529.00,2739600,63529.00
2012-04-03,65218.00,65530.00,64015.00,64284.00,2773600,64284.00
2012-04-02,64515.00,65593.00,64199.00,65216.00,2966600,65216.00
2012-03-30,64875.00,65363.00,64245.00,64511.00,3155800,64511.00
2012-03-29,65074.00,65074.00,64096.00,64872.00,2895600,64872.00
2012-03-28,66032.00,66032.00,64819.00,65079.00,2883000,65079.00
2012-03-27,66683.00,66968.00,65925.00,66037.00,2723000,66037.00
2012-03-26,65818.00,66776.00,65818.00,66685.00,2010800,66685.00
2012-03-23,65831.00,66253.00,65576.00,65813.00,2524800,65813.00
2012-03-22,66860.00,66860.00,65534.00,65828.00,2676200,65828.00
2012-03-21,67297.00,67436.00,66762.00,66860.00,1981000,66860.00
2012-03-20,67725.00,67725.00,66704.00,67296.00,2071400,67296.00
2012-03-19,67685.00,68159.00,67547.00,67730.00,2143600,67730.00
2012-03-16,67749.00,68153.00,67505.00,67684.00,2408600,67684.00
2012-03-15,68259.00,68259.00,67458.00,67749.00,2295200,67749.00
2012-03-14,68386.00,68970.00,67797.00,68257.00,2732800,68257.00
2012-03-13,66386.00,68420.00,66386.00,68394.00,3165200,68394.00
2012-03-12,66687.00,66687.00,65965.00,66385.00,2149800,66385.00
2012-03-09,66908.00,67419.00,66679.00,66704.00,2253600,66704.00
2012-03-08,66032.00,67272.00,66032.00,66908.00,2890800,66908.00
2012-03-07,65123.00,66053.00,65123.00,66017.00,2683400,66017.00
2012-03-06,66962.00,66962.00,64892.00,65114.00,2742600,65114.00
2012-03-05,67782.00,67782.00,66756.00,66964.00,2315800,66964.00
2012-03-02,66810.00,67791.00,66810.00,67782.00,2557000,67782.00
2012-03-01,65812.00,66931.00,65812.00,66810.00,2328800,66810.00
2012-02-29,65970.00,66662.00,65533.00,65812.00,3345400,65812.00
2012-02-28,65245.00,66152.00,65240.00,65959.00,2717000,65959.00
2012-02-27,65938.00,65954.00,65068.00,65241.00,2226000,65241.00
2012-02-24,65820.00,66335.00,65820.00,65943.00,2119800,65943.00
2012-02-23,66084.00,66329.00,65590.00,65820.00,2322800,65820.00
2012-02-22,66205.00,66291.00,65851.00,66093.00,1791400,66093.00
2012-02-17,66158.00,66562.00,65823.00,66204.00,2352600,66204.00
2012-02-16,65364.00,66161.00,64798.00,66142.00,3068400,66142.00
2012-02-15,65041.00,66004.00,65041.00,65368.00,3825400,65368.00
2012-02-14,65699.00,65855.00,64826.00,65039.00,2738200,65039.00
2012-02-13,63999.00,65713.00,63999.00,65692.00,2619200,65692.00
2012-02-10,65525.00,65525.00,63880.00,63998.00,3501400,63998.00
2012-02-09,65831.00,66324.00,65189.00,65530.00,2688400,65530.00
2012-02-08,65918.00,66383.00,65647.00,65831.00,2887000,65831.00
2012-02-07,65213.00,65944.00,64801.00,65917.00,2722000,65917.00
2012-02-06,65217.00,65229.00,64743.00,65224.00,1919600,65224.00
2012-02-03,64589.00,65619.00,64137.00,65217.00,3059800,65217.00
2012-02-02,64569.00,64855.00,64224.00,64593.00,3107600,64593.00
2012-02-01,63085.00,64567.00,63085.00,64567.00,3904000,64567.00
2012-01-31,62772.00,63394.00,62664.00,63072.00,3437800,63072.00
2012-01-30,62902.00,62902.00,61989.00,62770.00,2197600,62770.00
2012-01-27,62955.00,63263.00,62769.00,62904.00,2218200,62904.00
